"product_name","number","purchase_price","price_per_unit","sale_price","expiry_date","stock"
"ZYRTEC ORAL SOLUTION 75ML","24G30Z",1.551,1.551,1.89,"06-01-2027",6
"ZYRTEC 10MG TAB 20S","406074",1.432,1.432,3.49,"07-01-2029",1
"ZYRTEC 10MG ORAL DROPS 10ML","23518",1.935,1.935,2.36,"08-01-2028",3
"ZYROSA 10MG TAB 28S","4RS0028",2.5,2.5,8.61,"02-01-2027",0.5
"ZYNOVATE 0.1% OINTMENT 15GM","4EW001B",0.523,0.523,1.02,"10-01-2027",3
"ZYNOVATE 0.1% CREAM 15GM","3ET004A",0.524,0.524,1.02,"05-01-2026",5
"ZYNEX-40MG CAPS 14S","4EG0078",3.05,3.05,4.41,"04-01-2026",2
"ZYNCET 10MG TAB 10S (BULK)","BZN23030",0.315,0.315,0.462,"11-01-2026",1
"ZYCAL SOFTAB 30S","ZY00223",0.57,0.57,3.2,"10-01-2026",2.5
"ZOVIRAX 5% CREAM 2GM","5U5W",1.444,1.444,1.76,"09-01-2027",3
"ZOFRAN 4MG TAB 10S","B70723F",4.867,4.867,11.86,"05-01-2026",1
"ZINK C VIT C WITH ZINC EFFERVESCENT TAB 20S","81417",1.8,1.8,2.6,"10-01-2026",6
"ZIMAX 250MG CAPS 6S","2000243",2.435,2.435,3.46,"04-01-2027",1
"ZETA OINTMENT 15GM","4ST189",0.562,0.562,0.89,"01-01-2027",3
"ZETA CREAM 15GM","4LF203",0.663,0.663,1.05,"06-01-2027",1
"ZERTAZINE 10MG TAB 20S","23EA27",0.344,0.344,1.62,"01-01-2026",3.5
"ZENTEL 400MG TAB 1S","PW8D",0.68,0.68,0.83,"04-01-2028",5
"ZEMITRON 4MG TAB 10S","457001",10.91,10.91,14.4,"01-01-2027",1
"ZED 100MG TAB 4S","4SK002G",3.786,3.786,7.38,"03-01-2027",2
"ZECUF LOZENGES ORANGE 24S","K0J23009A",0.411,0.411,1.65,"07-01-2026",2
"ZECUF LOZENGES HONEY LEMON 24S","KHZ24006",0.411,0.411,1.65,"08-01-2027",1
"ZECUF LOZENGES HERBAL 24S","KGM22012B",0.29,0.29,1.65,"08-01-2025",2.5
"ZECUF HERBAL COUGH SYRUP 100ML","BZF23091",0.492,0.492,0.99,"11-01-2026",8
"YASMIN TAB 21S","KT0LV4C",2.101,2.101,3.04,"10-01-2026",2
"XYZAL 5MG TAB 30S","401800",0.633,0.633,2.33,"05-01-2029",1
"XYLOLIN CHILD NASAL SPRAY 10ML","6928",0.6,0.6,0.8,"07-01-2027",2
"XYLOLIN ADULT NASAL SPRAY 10ML","6926",0.845,0.845,1.03,"09-01-2027",4
"XYLO-COMOD NASAL SPRAY 15ML","309693",1.517,1.517,2.07,"01-01-2027",2
"XOLAMOL OPHTHALMIC SOLUTION 5ML","BC0482",3.504,3.504,4.27,"03-01-2026",3
"XOLA OPTHALMIC SOLUTION 5ML","PM0342",2.94,2.94,3.85,"11-01-2026",3
"XIGDUO XR 5MG/1000MG TAB 60S","WP0241",1.325,1.325,16.14,"01-01-2026",1
"XENICAL 120MG CAPS 84S","M2464M7",13.763,13.763,16.77,"03-01-2026",1.25
"WINEX 400MG CAPS 6S","4BH425",2.82,2.82,5.5,"01-01-2027",1
"WHEEL CHAIR WITH BREAK MARVEL","1000",25,25,49,"01-01-2030",1
"WHEEL CHAIR WITH BELT MARVEL","1000",23,23,47,"01-01-2030",1
"WHEEL CHAIR MARVEL","1000",23,23,45,"01-01-2030",1
"WELLWOMAN ORGINAL CAPS 30S","222446",2.363,2.363,6.23,"01-01-2027",0.5
"WELLOXON 9% 60ML","227100",0.4,0.4,0.6,"08-01-2025",2
"WELLOXON 6% 60ML","228700",0.4,0.4,0.6,"09-01-2025",1
"WELLMAN ORIGINAL TAB 30S","132372",2.372,2.372,6.42,"03-01-2027",1.5
"WARTY CREAM WITH SALICYLIC ACID 15ML","WAT23101",1.933,1.933,3.3,"03-01-2026",4
"WALKING STICK WITH MOVABLE BUSH MARVEL","1000",4,4,8,"01-01-2030",1
"WALKING STICK 4 FOOT MARVEL","1000",4,4,8,"01-01-2030",1
"WALKING STICK 4 FOOT BLACK MARVEL","1000",3.75,3.75,9,"01-01-2030",1
"WALKING STICK 3 FOOT MARVEL","1000",3.6,3.6,7,"01-01-2030",1
"WALKER FRAME WITH WHEEL MARVEL","1000",11,11,21,"01-01-2030",1
"WALKER FRAME MARVEL","1000",9.5,9.5,19,"01-01-2030",1
"WALKER & CRUTCHES ACCESSORIES","1000",0,0,1,"01-01-2030",5
"VOMINORE TAB 20S","2304058",1.023,1.023,1.62,"03-01-2028",6.5
"VOLTIC 50MG TAB 20S","VA0190",0,0,0,"01-01-2026",2
"VOLTFAST 50MG POWDER 30S","AMPA510",4.827,4.827,6.47,"05-01-2026",4.166666667
