SL,product_name,number,expiry_date,purchase_price,price_per_unit,sale_price,stock,,,
1,ABENA PANTS L1 15S,1032882,1/9/2029,5.117,5.117,8.2,2,,,
2,ACC LONG EFFERVESCENT TAB 10S,NK0278,1/6/2027,1.075,1.075,1.36,1,,,
3,ACCU-CHEK ACTIVE TEST STRIPS 50S,29516831,1/11/2025,7.714,7.714,12,2,,,
4,ACCU-CHEK GUIDE MONITOR OFFER PACK ,31204291,1/8/2026,18.312,18.312,21,1,,,
5,ACCU-CHEK GUIDE STRIPS 50S,104813,1/1/2026,8.867,8.867,13.3,2,,,
6,ACCU-CHEK INSTANT MONITOR OFFER PACK,31209520,1/6/2026,12.35,12.35,19,1,,,
7,ACCU-CHEK INSTANT TEST STRIPS 50S,303392,1/7/2026,7.714,7.714,12,2,,,
8,ACCU-CHEK PERFOMA TEST STRIPS 50S,671429,1/1/2026,8.867,8.867,13.3,2,,,
9,ACCU-CHEK SAFE T PRO UNO LANCET 28G 200S,42524116,1/2/2028,8.625,8.625,11.5,2.225,,,
10,ACCU-CHEK SOFTCLIX LANCETS 100S,10523345,1/6/2027,5,5,6,2,,,
11,ACCU-FINE NEEDLE 4MM 100S,C58K6,1/7/2027,0.07,0.07,0.1,204,,,
12,ACCU-FINE NEEDLE 6MM 100S,C56L5,1/5/2027,0.056,0.056,0.1,90,,,
13,ACM DEPIWHITE EYE CONTOUR GEL 15ML,E24A01,1/1/2027,6.2,6.2,7.8,2,,,
14,ACM MEDISUN SPF 50 MATTIFYING GEL 40ML,C23G14,1/7/2026,4,4,9.5,2,,,
15,ACM MOLUTREX 5% POTTASIUM HYDROXIDE 3ML,211068,1/12/2025,8.25,8.25,11,1,,,
16,ACM NOVOPHANE ENERGIZING SHAMPOO 200ML,24108003,1/4/2027,4.9,4.9,5.95,1,,,
17,ACM SENSITELIAL EMOLLIENT CARE 200ML,R22KOS,1/11/2025,8,8,9.9,1,,,
18,ACTRAPID 100IU/ML PENFILL 5S,PR7VE84,1/3/2026,9.348,9.348,11.39,1.4,,,
19,ACUVAIL OPTHALMIC SOLUTION 0.4ML 30S,404825,1/10/2025,3.135,3.135,3.82,4,,,
20,ADOL 120MG/5ML SYRUP 60ML,5032,1/3/2027,0.261,0.261,0.45,48,,,
