id,product_name,barcode,unit,category,brand,inventory,stock,expiry,purchase_price,sale_price,price_per_unit,tax,unit_name,unit_conversion
,ZYTAN CREAM 0.1% 15GM,,NOS,,,0,10,180,0,0,0,0,,
,ZYRTEC ORAL SOLUTION 75ML,,NOS,,,0,10,180,0,0,0,0,,
,ZYRTEC 10MG TAB 20S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,ZYRTEC 10MG ORAL DROPS 10ML,,NOS,,,0,10,180,0,0,0,0,,
,ZYROSA 20MG TAB 28S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,ZYROSA 10MG TAB 28S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,ZYNOVATE M CREAM 30GM,,NOS,,,0,10,180,0,0,0,0,,
,ZYNOVATE 0.1% OINTMENT 15GM,,NOS,,,16,10,180,0,0,0,0,,
,ZYNOVATE 0.1% CREAM 15GM,,NOS,MEDICAL OINTMENTS & CREAM,,6,10,180,0,0,0,0,,
,ZYNOSTAT 40MG TAB 30S,,,,,0,0,0,0,0,0,0,STRIPS,3
,ZYNEX-40MG CAPS 14S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,ZYNEX-20MG CAPS 14S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,ZYNCET 10MG TAB 10S (BULK),,NOS,,,298,10,180,0,0,0,0,,
,ZYLORIC 300MG TAB 28S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,ZYLORIC 100MG TAB 100S,,PACK,,,0,10,180,0,0,0,0,STRIPS,4
,ZYCAL SOFTAB 30S,,PACK,HEALTH AND WELLNESS,,3,10,180,0,0,0,0,STRIPS,2
,ZOXAN EYE/EAR DROP 0.3% 5 ML,,,,,0,10,180,1.025,1.34,0,0,,
,ZOVIRAX EYE OINTMENT 4.5GM,,NOS,,,0,10,180,0,0,0,0,,
,ZOVIRAX CREAM 10GM,,NOS,,,0,10,180,0,0,0,0,,
,ZOVIRAX 5% CREAM 2GM,,NOS,,,3,10,180,0,0,0,0,,
,ZORDYL PEPPERMINT MOUTHWASH 200ML,,NOS,,,0,10,180,0,0,0,0,,
,ZOMAX 250MG TAB 6S,,NOS,,,0,10,180,0,0,0,0,,
,ZOFRAN MELT 4MG TAB 10S,,NOS,TABLETS,,0,10,180,0,0,0,0,,
,ZOFRAN 4MG TAB 10S,,PACK,TABLETS,,0,10,180,0,0,0,0,STRIPS,2
,ZOCIN 250MG CAPS 6S,,NOS,,,0,10,180,0,0,0,0,,
,ZIVA MAKE UP REMOVAL WIPES 12S,,NOS,,,0,10,180,0,0,0,0,,
,ZIVA HAND SANITIZER 30ML,,NOS,,,0,10,180,0,0,0,0,,
,ZIVA BABY WIPES SENSITIVE 25S,,NOS,,,0,10,180,0,0,0,0,,
,ZIVA BABY WIPES PREMIUM SENITIVE 25S,,NOS,,,0,10,180,0,0,0,0,,
,ZIVA BABY WIPES EXTRA GENTLE 80S,,NOS,,,0,10,180,0,0,0,0,,
,ZITHROMAX 250MG CAPS 6S,,PACK,,,0,10,180,0,0,0,0,,
,ZINOXIMOR 500MG TAB 14S,,PACK,TABLETS,,13.5,10,180,0,0,0,0,STRIPS,2
,ZINOXIMOR 250MG TAB 14S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,ZINOPRIL 5MG TAB 28S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,ZINOPRIL 10MG TAB 28S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,ZINNAT 500MG TAB 10S,,PACK,,,0,10,180,0,0,0,0,,
,ZINNAT 250MG/5ML SUSPENSION 50ML,,NOS,,,0,10,180,0,0,0,0,,
,ZINNAT 250MG TAB 10S,,PACK,,,0,10,180,0,0,0,0,,
,ZINNAT 125MG/5ML SUSPENSION 50ML,,NOS,,,0,10,180,0,0,0,0,,
,ZINK C VIT C WITH ZINC EFFERVESCENT TAB 20S,,NOS,EFFERVECENTS,,118,10,180,0,0,0,0,,
